time,open,high,low,close,Volume
1683579600,2021.355,2037.655,2019.55,2034.535,63973
1683666000,2034.535,2048.245,2021.565,2029.74,90192
1683752400,2029.74,2041.39,2011.185,2015.03,112821
1683838800,2015.03,2022.58,2000.96,2011.025,98231
1684098000,2011.025,2022.115,2007.845,2016.365,70894
1684184400,2016.365,2018.39,1985.53,1988.885,90207
1684270800,1988.885,1993.12,1975.095,1982.01,67870
1684357200,1982.01,1986.07,1952.01,1957.685,95953
1684443600,1957.685,1984.325,1954.13,1977.895,106304
1684702800,1977.895,1982.67,1968.905,1971.72,72635
1684789200,1971.72,1977.805,1954.3,1975.115,77592
1684875600,1975.115,1985.39,1956.77,1957.225,78959
1684962000,1957.225,1964.785,1938.915,1940.595,71543
1685048400,1940.595,1957.36,1936.815,1946.93,70979
1685307600,1946.93,1949.77,1940.385,1943.12,37313
1685394000,1943.12,1963.55,1932.11,1959.48,75804
1685480400,1959.48,1974.835,1953.7,1962.615,69234
1685566800,1962.615,1983.18,1953.445,1977.54,66617
1685653200,1977.54,1983.505,1947.68,1948.1,62360
1685912400,1948.1,1964.055,1938.15,1961.7,57157
1685998800,1961.7,1966.385,1954.395,1963.285,49756
1686085200,1963.285,1970.22,1939.955,1940.01,51978
1686171600,1940.01,1970.54,1940.01,1965.47,50107
1686258000,1965.47,1973.16,1956.665,1960.745,50155
1686517200,1960.745,1967.015,1949.28,1957.605,68616
1686603600,1957.605,1971.21,1940.095,1943.6,78621
1686690000,1943.6,1960.31,1939.755,1941.255,74771
1686776400,1941.255,1960.31,1925.04,1958.005,86479
1686862800,1958.005,1967.92,1953.32,1957.555,50018
1687122000,1957.555,1958.81,1947.84,1950.42,41354
1687208400,1950.42,1956.84,1929.82,1936.255,77044
1687294800,1936.255,1939.575,1919.245,1932.51,58919
1687381200,1932.51,1935.005,1912.465,1913.835,67665
1687467600,1913.835,1937.305,1910.21,1921.265,64345
1687726800,1921.265,1933.395,1921.265,1923.15,48009
1687813200,1923.15,1930.73,1910.89,1913.68,63008
1687899600,1913.68,1917.285,1902.87,1907.535,61344
1687986000,1907.535,1913.18,1893.07,1908.065,80916
1688072400,1908.065,1922.78,1900.605,1919.525,71833
1688331600,1919.525,1931.085,1910.08,1921.525,58322
1688418000,1921.525,1930.765,1920.005,1925.875,37517
1688504400,1925.875,1935.05,1914.855,1915.12,64898
1688590800,1915.12,1927.665,1902.745,1910.975,88195
1688677200,1910.975,1934.935,1909.62,1925.565,94162
1688936400,1925.565,1928.28,1912.75,1925.44,70937
1689022800,1925.44,1938.495,1924.42,1932.505,71828
1689109200,1932.505,1959.75,1932.315,1957.54,75985
1689195600,1957.54,1963.735,1952.47,1960.64,77345
1689282000,1960.64,1963.795,1950.99,1955.435,172146
1689541200,1955.435,1959.91,1945.84,1954.98,141677
1689627600,1954.98,1984.425,1954.65,1978.92,180348
1689714000,1978.92,1980.995,1969.81,1977.15,160240
1689800400,1977.15,1987.53,1965.39,1969.55,168774
1689886800,1969.55,1973.85,1956.905,1961.95,144222
1690146000,1961.95,1967.905,1953.475,1954.715,147897
1690232400,1954.715,1965.72,1952.005,1964.745,121634
1690318800,1964.745,1978.405,1962.065,1972.24,170682
1690405200,1972.24,1982.265,1942.645,1945.15,189868
1690491600,1945.15,1963.575,1945.15,1959.34,176345
1690750800,1959.34,1972.455,1950.206,1965.615,139132
1690837200,1965.615,1966.015,1941.29,1944.2,136205
1690923600,1944.2,1954.88,1933.036,1934.71,162768
1691010000,1934.71,1938.94,1929.61,1934.225,140159
1691096400,1934.225,1946.99,1924.78,1942.655,156902
1691355600,1942.655,1946.815,1931.525,1936.585,112919
1691442000,1936.585,1938.155,1922.795,1925.16,139132
1691528400,1925.16,1932.395,1914.125,1914.95,123977
1691614800,1914.95,1930.18,1912.245,1912.42,155508
1691701200,1912.42,1920.97,1910.9,1913.815,132068
1691960400,1913.815,1916.26,1902.73,1907.505,130484
1692046800,1907.505,1911.71,1896.455,1901.82,163154
1692133200,1901.82,1907.275,1891.875,1892.09,142099
1692219600,1892.09,1903.515,1885.085,1889.25,144196
1692306000,1889.25,1896.905,1886.81,1889.545,106517
1692565200,1889.545,1898.825,1884.885,1894.895,119196
1692651600,1894.895,1904.55,1889.195,1897.675,112446
1692738000,1897.675,1920.425,1897.67,1915.41,126671
1692824400,1915.41,1923.4,1911.845,1916.79,118277
1692910800,1916.79,1922.44,1903.81,1914.425,119559
1693170000,1914.425,1926.1,1912.835,1920.19,81907
1693256400,1920.19,1938.235,1914.485,1937.435,123990
1693342800,1937.435,1949.115,1934.995,1942.425,126012
1693429200,1942.425,1947.955,1939.085,1939.855,115474
1693515600,1939.855,1953.055,1934.47,1939.9,147208
1693774800,1939.9,1946.335,1936.805,1938.455,59944
1693861200,1938.455,1939.035,1925.37,1926.01,120681
1693947600,1926.01,1929.245,1915.345,1916.49,126647
1694034000,1916.49,1923.67,1916.27,1919.66,107298
1694120400,1919.66,1929.75,1917.385,1919.085,106884
1694379600,1919.085,1930.78,1916.63,1922.38,115630
1694466000,1922.38,1924.555,1907.62,1913.43,122013
1694552400,1913.43,1915.815,1905.695,1908.32,136390
1694638800,1908.32,1912.97,1901.05,1910.72,154648
1694725200,1910.72,1930.475,1909.865,1923.92,135779
1694984400,1923.92,1934.29,1922.65,1933.695,106931
1695070800,1933.695,1937.43,1929.8,1931.36,93077
1695157200,1931.36,1947.465,1927.995,1930.62,137976
1695243600,1930.62,1931.685,1913.94,1920.085,145251
1695330000,1920.085,1929.15,1919.855,1925.43,107780
1695589200,1925.43,1927.245,1915.23,1916.015,87032
1695675600,1916.015,1916.84,1899.155,1900.67,95895
1695762000,1900.67,1903.97,1872.58,1874.835,111312
1695848400,1874.835,1879.685,1857.71,1864.795,137250
1695934800,1864.795,1879.89,1846.335,1848.82,136620
1696194000,1848.82,1848.995,1827.225,1827.89,135971
1696280400,1827.89,1833.425,1815.32,1822.905,170346
1696366800,1822.905,1830.675,1816.64,1821.315,168620
1696453200,1821.315,1829.225,1813.03,1820.3,139390
1696539600,1820.3,1834.92,1810.465,1832.035,163231
1696798800,1832.035,1863.55,1832.035,1861.405,129869
1696885200,1861.405,1865.46,1853.045,1860.46,146970
1696971600,1860.46,1877.27,1858.68,1874.055,144528
1697058000,1874.055,1885.16,1867.965,1868.835,136922
1697144400,1868.835,1932.93,1868.835,1932.365,168457
1697403600,1932.365,1932.365,1908.235,1920.165,139850
1697490000,1920.165,1931.635,1912.46,1923.23,141226
1697576400,1923.23,1962.675,1923.23,1947.815,157102
1697662800,1947.815,1977.74,1945.28,1974.075,173056
1697749200,1974.075,1997.26,1972.06,1980.9,166852
1698008400,1980.9,1982.875,1964.425,1972.84,143569
1698094800,1972.84,1980.9,1953.635,1971.025,142340
1698181200,1971.025,1987.31,1963.035,1979.96,131904
1698267600,1979.96,1993.545,1971.89,1984.95,144881
1698354000,1984.95,2009.565,1976.92,2006.02,144236
1698613200,2006.02,2006.845,1990.97,1996.26,144378
1698699600,1996.26,2007.99,1978.9,1983.9,143884
1698786000,1983.9,1992.085,1969.91,1982.355,140725
1698872400,1982.355,1991.06,1978.915,1985.91,111564
1698958800,1985.91,2004.1,1983.34,1992.59,136271
1699221600,1992.59,1993.145,1977.47,1977.975,97762
1699308000,1977.975,1978.36,1956.76,1969.3,118419
1699394400,1969.3,1971.1,1947.48,1950.28,106175
1699480800,1950.28,1965.7,1944.725,1958.26,126934
1699567200,1958.26,1960.835,1933.03,1938.385,112619
1699826400,1938.385,1949.21,1931.685,1946.155,103756
1699912800,1946.155,1971.05,1941.535,1963.175,120062
1699999200,1963.175,1975.425,1955.49,1959.545,126171
1700085600,1959.545,1988,1956.545,1981.39,123442
1700172000,1981.39,1993.49,1978.635,1980.73,111880
1700431200,1980.73,1985.25,1965.495,1977.845,136595
1700517600,1977.845,2007.65,1977.845,1998.525,152053
1700604000,1998.525,2006.455,1986.965,1989.885,130487
1700690400,1989.885,1998.57,1989.825,1992.89,64022
1700776800,1992.89,2003.66,1991.49,2002.495,92852
1701036000,2002.495,2018.325,2000.67,2014.175,131259
1701122400,2014.175,2043.11,2011.685,2040.97,109185
1701208800,2040.97,2052.06,2035.32,2044.32,179760
1701295200,2044.32,2047.235,2031.53,2036.165,151321
1701381600,2036.165,2075.43,2033.94,2071.88,171997
1701640800,2071.88,2148.99,2020.135,2029,243946
1701727200,2029,2041.3,2009.936,2019.345,183183
1701813600,2019.345,2035.97,2017.29,2025.475,152499
1701900000,2025.475,2039.975,2020.235,2028.515,169648
